Country,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Cases,Deaths,Case_Rate,Case_Fatality_Ratio,Indoor_Pollution_Death_Rate,Outdoor_Pollution_Death_Rate
Cuba,11338138,4684000,3/19/2020,3/13/2020,21.521757,-77.781167,41.1,3/23/2020,Full,1059834,8467,9347.513675,0.007988987,31.02026596,1.722008769
Cyprus,1189265,3939000,3/23/2020,3/10/2020,35.126413,33.429859,34.9,3/25/2020,Full,288063,785,24221.9354,0.002725098,26.33915185,0.190199365
Czechia,10065000,14000,3/23/2020,3/2/2020,49.8175,15.473,41.4,3/16/2020,Full,3385250,37765,33633.87978,0.011155749,29.59860644,0.958861042
Denmark,5793636,12749000,3/15/2020,2/28/2020,56.26392,9.501785,41.6,3/11/2020,Full,2289076,4038,39510.17979,0.001764031,19.62969615,0.103695525
Diamond Princess,712,14000,2/21/2020,2/8/2020,-100,-100,37,,,712,13,100000,0.018258427,11.55598527,0.026306511
Djibouti,958920,14000,4/11/2020,3/19/2020,11.825138,42.590275,23.7,3/23/2020,Full,15531,189,1619.634589,0.01216921,49.17511634,32.24147876
Dominica,71625,63000,,3/23/2020,15.414999,-61.370976,37,3/19/2020,Partial,10414,53,14539.61606,0.005089303,30.83750452,6.837761311
Dominican Republic,10627165,6569000,3/18/2020,3/2/2020,18.735693,-70.162651,26.1,3/17/2020,Full,569024,4343,5354.428956,0.007632367,25.92652041,11.25390844
Ecuador,17084357,2535000,3/15/2020,3/2/2020,-1.831239,-78.183406,26.6,3/24/2020,Partial,781470,34854,4574.184443,0.04460056,24.15169956,3.113057544
Egypt,98423595,11196000,3/9/2020,2/15/2020,26.820553,30.802498,24.7,3/24/2020,Full,452821,23292,460.0736236,0.051437544,114.2312303,0.726384217
El Salvador,6420744,1677300,4/1/2020,3/20/2020,13.794185,-88.89653,25.8,3/12/2020,Full,135109,3989,2104.2577,0.02952431,30.1396649,16.14333569
